Date,Open,High,Low,Close,Volume
2024-11-26,"233.3300","235.5700","233.3300","235.0600","45986189"
2024-11-27,"234.4650","235.6900","233.8101","234.9300","33498439"
2024-11-29,"234.8100","237.8100","233.9700","237.3300","28481377"
2024-12-02,"237.2700","240.7900","237.1600","239.5900","48137103"
2024-12-03,"239.8100","242.7600","238.9000","242.6500","38861017"
2024-12-04,"242.8700","244.1100","241.2500","243.0100","44383935"
2024-12-05,"243.9900","244.5400","242.1300","243.0400","40033878"
2024-12-06,"242.9050","244.6300","242.0800","242.8400","36870619"
2024-12-09,"241.8300","247.2400","241.7500","246.7500","44649232"
2024-12-10,"246.8900","248.2100","245.3400","247.7700","36914806"
2024-12-11,"247.9600","250.8000","246.2601","246.4900","45205814"
2024-12-12,"246.8900","248.7400","245.6800","247.9600","32777532"
2024-12-13,"247.8150","249.2902","246.2400","248.1300","33155290"
2024-12-16,"247.9900","251.3800","247.6500","251.0400","51694753"
2024-12-17,"250.0800","253.8300","249.7800","253.4800","51356360"
2024-12-18,"252.1600","254.2800","247.7400","248.0500","56774101"
2024-12-19,"247.5000","252.0000","247.0949","249.7900","60882264"
2024-12-20,"248.0400","255.0000","245.6900","254.4900","147495267"
2024-12-23,"254.7700","255.6500","253.4500","255.2700","40858774"
2024-12-24,"255.4900","258.2100","255.2900","258.2000","23234705"
2024-12-26,"258.1900","260.1000","257.6300","259.0200","27262983"
2024-12-27,"257.8300","258.7000","253.0600","255.5900","42355321"
2024-12-30,"252.2300","253.5000","250.7500","252.2000","35557542"
2024-12-31,"252.4400","253.2800","249.4300","250.4200","39480718"
2025-01-02,"248.9300","249.1000","241.8201","243.8500","55740731"
2025-01-03,"243.3600","244.1800","241.8900","243.3600","40244114"
2025-01-06,"244.3100","247.3300","243.2000","245.0000","45045571"
2025-01-07,"242.9800","245.5500","241.3500","242.2100","40855960"
2025-01-08,"241.9200","243.7123","240.0500","242.7000","37628940"
2025-01-10,"240.0100","240.1600","233.0000","236.8500","61710856"
2025-01-13,"233.5300","234.6700","229.7200","234.4000","49630725"
2025-01-14,"234.7500","236.1200","232.4720","233.2800","39435294"
2025-01-15,"234.6350","238.9600","234.4300","237.8700","39831969"
2025-01-16,"237.3500","238.0100","228.0300","228.2600","71759052"
2025-01-17,"232.1150","232.2900","228.4800","229.9800","68488301"
2025-01-21,"224.0000","224.4200","219.3800","222.6400","98070429"
2025-01-22,"219.7900","224.1200","219.7900","223.8300","64126500"
2025-01-23,"224.7400","227.0300","222.3000","223.6600","60234760"
2025-01-24,"224.7800","225.6300","221.4100","222.7800","54697907"
2025-01-27,"224.0200","232.1500","223.9800","229.8600","94863418"
