Date,Open,High,Low,Close,Volume
2024-11-26,"137.7000","139.3000","135.6700","136.9200","190287654"
2024-11-27,"135.0100","137.2200","131.8000","135.3400","226370912"
2024-11-29,"136.7800","139.3500","136.0500","138.2500","141863156"
2024-12-02,"138.8300","140.4500","137.8250","138.6300","171682777"
2024-12-03,"138.2600","140.5400","137.9500","140.2600","164413965"
2024-12-04,"141.9950","145.7900","140.2900","145.1400","231224295"
2024-12-05,"145.1100","146.5400","143.9500","145.0600","172621180"
2024-12-06,"144.6000","145.7000","141.3100","142.4400","188505573"
2024-12-09,"138.9700","139.9500","137.1300","138.8100","189308625"
2024-12-10,"139.0100","141.8200","133.7900","135.0700","210020888"
2024-12-11,"137.3600","140.1700","135.2100","139.3100","184905192"
2024-12-12,"137.0800","138.4400","135.8000","137.3400","159211393"
2024-12-13,"138.9400","139.6000","132.5400","134.2500","231514881"
2024-12-16,"134.1800","134.4000","130.4200","132.0000","237951130"
2024-12-17,"129.0900","131.5900","126.8600","130.3900","259410263"
2024-12-18,"133.8600","136.7000","128.2800","128.9100","277444533"
2024-12-19,"131.7600","134.0300","129.5500","130.6800","209719210"
2024-12-20,"129.8100","135.2800","128.2200","134.7000","306528553"
2024-12-23,"136.2800","139.7900","135.1201","139.6700","176053506"
2024-12-24,"140.0000","141.9000","138.6500","140.2200","105156989"
2024-12-26,"139.7000","140.8500","137.7300","139.9300","116519090"
2024-12-27,"138.5500","139.0200","134.7100","137.0100","170582603"
2024-12-30,"134.8300","140.2700","134.0200","137.4900","167734700"
2024-12-31,"138.0300","138.0700","133.8300","134.2900","155659211"
2025-01-02,"136.0000","138.8800","134.6300","138.3100","198247166"
2025-01-03,"140.0100","144.9000","139.7300","144.4700","229322478"
2025-01-06,"148.5900","152.1560","147.8201","149.4300","265377359"
2025-01-07,"153.0300","153.1300","140.0100","140.1400","351782174"
2025-01-08,"142.5800","143.9500","137.5600","140.1100","227349948"
2025-01-10,"137.4500","139.9200","134.2200","135.9100","207602514"
2025-01-13,"129.9900","133.4900","129.5100","133.2300","204808914"
2025-01-14,"136.0500","136.3800","130.0500","131.7600","195590485"
2025-01-15,"133.6500","136.4500","131.2900","136.2400","185217338"
2025-01-16,"138.6400","138.7500","133.4900","133.5700","209235583"
2025-01-17,"136.6900","138.5000","135.4649","137.7100","201188760"
2025-01-21,"139.1600","141.8300","137.0900","140.8300","197748985"
2025-01-22,"144.6600","147.7900","143.6700","147.0700","237651395"
2025-01-23,"145.0500","147.2300","143.7200","147.2200","155915549"
2025-01-24,"148.3700","148.9700","141.8800","142.6200","234657635"
2025-01-27,"124.8000","128.4000","116.7000","118.4200","818830895"
2025-01-28,"121.8100","129.0000","116.2500","128.9900","579666350"
2025-01-29,"126.5000","126.8900","120.0500","123.7000","467120640"
2025-01-30,"123.1000","125.0000","118.1000","124.6500","392925469"
2025-01-31,"123.7800","127.8500","119.1900","120.0700","390372899"
2025-02-03,"114.7500","118.5700","113.0100","116.6600","371235677"
2025-02-04,"116.9600","121.2000","116.7000","118.6500","256550040"
2025-02-05,"121.7600","125.0000","120.7600","124.8300","263110629"
2025-02-06,"127.4200","128.7700","125.2100","128.6800","251483574"
2025-02-07,"129.2200","130.3700","125.0000","129.8400","228186298"
2025-02-10,"130.0900","135.0000","129.9600","133.5700","216989086"
2025-02-11,"132.5800","134.4800","131.0200","132.8000","178902379"
2025-02-12,"130.0200","132.2400","129.0800","131.1400","160278552"
2025-02-13,"131.5550","136.5000","131.1700","135.2900","197429975"
2025-02-14,"136.4800","139.2500","135.5000","138.8500","195479557"
2025-02-18,"141.2700","143.4400","137.9250","139.4000","219176627"
2025-02-19,"139.5100","141.3600","137.2200","139.2300","167536006"
2025-02-20,"140.0300","140.6600","136.7901","140.1100","143903583"
2025-02-21,"140.0400","141.4600","134.0300","134.4300","228217585"
2025-02-24,"136.5600","138.5900","130.0800","130.2800","251381137"
2025-02-25,"129.9800","130.2000","124.4400","126.6300","271428711"
2025-02-26,"129.9850","133.7300","128.4900","131.2800","322553814"
2025-02-27,"135.0000","135.0100","120.0100","120.1500","443175846"
2025-02-28,"118.0200","125.0900","116.4000","124.9200","389091145"
2025-03-03,"123.5100","123.7000","112.2800","114.0600","411381373"
2025-03-04,"110.6450","119.3100","110.1100","115.9900","398163305"
2025-03-05,"117.5800","118.2781","114.5100","117.3000","284337886"
2025-03-06,"113.5300","115.3500","110.2200","110.5700","321181861"
2025-03-07,"111.2500","113.4800","107.5600","112.6900","341755468"
2025-03-10,"109.9000","111.8500","105.4600","106.9800","361107562"
2025-03-11,"106.9900","112.2360","104.7700","108.7600","354865692"
2025-03-12,"114.1200","116.7600","112.8800","115.7400","323857454"
2025-03-13,"117.0300","117.7600","113.7900","115.5800","299033131"
2025-03-14,"118.6100","121.8800","118.1500","121.6700","277593455"
2025-03-17,"122.7400","122.8900","118.0300","119.5300","255501481"
2025-03-18,"118.0000","119.0200","114.5400","115.4300","299686944"
2025-03-19,"117.2700","120.4450","115.6800","117.5200","273426225"
2025-03-20,"116.5500","120.2000","116.4700","118.5300","248829749"
2025-03-21,"116.9400","117.9900","115.4200","117.7000","266498528"
2025-03-24,"119.8800","122.2200","119.3400","121.4100","228452534"
2025-03-25,"120.5450","121.2900","118.9200","120.6900","167447198"
2025-03-26,"118.7300","118.8400","112.7100","113.7600","296431667"
2025-03-27,"111.3500","114.4500","110.6600","111.4300","236902055"
2025-03-28,"111.4850","112.8700","109.0701","109.6700","229872549"
2025-03-31,"105.1300","110.9550","103.6500","108.3800","299212653"
2025-04-01,"108.5150","110.2000","106.4700","110.1500","222614034"
2025-04-02,"107.2900","111.9800","106.7900","110.4200","220601243"
2025-04-03,"103.5100","105.6300","101.6000","101.8000","338769412"
2025-04-04,"98.9100","100.1300","92.1100","94.3100","532273810"
2025-04-07,"87.4600","101.7500","86.6200","97.6400","611041347"
2025-04-08,"103.8050","105.8500","94.4600","96.3000","476243392"
2025-04-09,"98.8900","115.1000","97.5301","114.3300","612918336"
2025-04-10,"109.3700","110.8600","99.1500","107.5700","437812353"
2025-04-11,"108.5000","111.5499","107.4800","110.9300","313417265"
2025-04-14,"114.1100","114.2900","109.0700","110.7100","264705049"
2025-04-15,"110.9700","113.6150","110.5000","112.2000","228966900"
2025-04-16,"104.5500","106.7900","100.4500","104.4900","397016870"
2025-04-17,"104.4500","104.4700","100.0500","101.4900","292517465"
2025-04-21,"98.7700","99.4400","95.0400","96.9100","288501136"
2025-04-22,"98.7800","99.8110","97.2800","98.8900","241004784"
2025-04-23,"104.5200","104.8000","102.0200","102.7100","247525971"
