Date,Open,High,Low,Close,Volume
2024-11-26,"341.0000","346.9600","335.6600","338.2300","62295857"
2024-11-27,"341.8000","342.5500","326.5900","332.8900","57896439"
2024-11-29,"336.0800","345.4500","334.6500","345.1600","37167621"
2024-12-02,"352.3800","360.0000","351.1501","357.0900","77986478"
2024-12-03,"351.8000","355.6900","348.2000","351.4200","58267196"
2024-12-04,"353.0000","358.1000","348.6000","357.9300","50810874"
2024-12-05,"359.8700","375.4300","359.5000","369.4900","81403569"
2024-12-06,"377.4200","389.4900","370.8000","389.2200","81455834"
2024-12-09,"397.6100","404.8000","378.0100","389.7900","96359173"
2024-12-10,"392.6800","409.7300","390.8500","400.9900","97563578"
2024-12-11,"409.7000","424.8800","402.3800","424.7700","104287559"
2024-12-12,"424.8400","429.3000","415.0000","418.1000","87752225"
2024-12-13,"420.0000","436.3000","415.7100","436.2300","89000158"
2024-12-16,"441.0900","463.1900","436.1500","463.0200","114083811"
2024-12-17,"475.9000","483.9900","457.5101","479.8600","131222978"
2024-12-18,"466.4950","488.5399","427.0100","440.1300","149340788"
2024-12-19,"451.8800","456.3600","420.0200","436.1700","118566146"
2024-12-20,"425.5050","447.0800","417.6400","421.0600","132216176"
2024-12-23,"431.0000","434.5100","415.4112","430.6000","72698055"
2024-12-24,"435.9000","462.7800","435.1400","462.2800","59551750"
2024-12-26,"465.1600","465.3299","451.0200","454.1300","76651210"
2024-12-27,"449.5200","450.0000","426.5000","431.6600","82666821"
2024-12-30,"419.4000","427.0000","415.7500","417.4100","64941012"
2024-12-31,"423.7900","427.9300","402.5400","403.8400","76825121"
2025-01-02,"390.1000","392.7299","373.0400","379.2800","109710749"
2025-01-03,"381.4800","411.8799","379.4500","410.4400","95423329"
2025-01-06,"423.2000","426.4300","401.7000","411.0500","85516534"
2025-01-07,"405.8300","414.3300","390.0000","394.3600","75699525"
2025-01-08,"392.9500","402.4999","387.4000","394.9400","73038805"
2025-01-10,"391.4000","399.2800","377.2900","394.7400","62287333"
2025-01-13,"383.2100","403.7900","380.0700","403.3100","67580494"
2025-01-14,"414.3400","422.6400","394.5400","396.3600","84565022"
2025-01-15,"409.9000","429.8000","405.6610","428.2200","81375460"
2025-01-16,"423.4900","424.0000","409.1300","413.8200","68335151"
2025-01-17,"421.5000","439.7400","419.7500","426.5000","94991429"
2025-01-21,"432.6400","433.2000","406.3100","424.0700","87320894"
2025-01-22,"416.8100","428.0000","414.5900","415.1100","60963342"
2025-01-23,"416.0600","420.7300","408.9500","412.3800","50690592"
2025-01-24,"414.4500","418.8800","405.7800","406.5800","56427149"
2025-01-27,"394.8000","406.6900","389.0000","397.1500","58125510"
2025-01-28,"396.9100","400.5900","386.5000","398.0900","48910676"
2025-01-29,"395.2100","398.5899","384.4800","389.1000","68033648"
2025-01-30,"410.7800","412.5000","384.4100","400.2800","98092879"
2025-01-31,"401.5300","419.9900","401.3400","404.6000","83568219"
2025-02-03,"386.6800","389.1700","374.3600","383.6800","93732122"
2025-02-04,"382.6300","394.0000","381.4000","392.2100","57072235"
2025-02-05,"387.5100","388.3900","375.5300","378.1700","57614721"
2025-02-06,"373.0300","375.4000","363.1800","374.3200","77918230"
2025-02-07,"370.1900","380.5459","360.3400","361.6200","70298258"
2025-02-10,"356.2100","362.7000","350.5100","350.7300","77514903"
2025-02-11,"345.8000","349.3700","325.1000","328.5000","118543400"
2025-02-12,"329.9400","346.4000","329.1200","336.5100","105382729"
2025-02-13,"345.0000","358.6900","342.8500","355.9400","89441519"
2025-02-14,"360.6200","362.0000","347.5000","355.8400","68277279"
2025-02-18,"355.0100","359.1000","350.0200","354.1100","51631702"
2025-02-19,"354.0000","367.3400","353.6700","360.5600","67094374"
2025-02-20,"361.5100","362.3000","348.0000","354.4000","45965354"
2025-02-21,"353.4400","354.9800","334.4200","337.8000","74058648"
2025-02-24,"338.1400","342.3973","324.7000","330.5300","76052321"
2025-02-25,"327.0250","328.8900","297.2512","302.8000","134228777"
2025-02-26,"303.7150","309.0000","288.0400","290.8000","100118276"
2025-02-27,"291.1600","297.2300","280.8800","281.9500","101748197"
2025-02-28,"279.5000","293.8800","273.6000","292.9800","115696968"
2025-03-03,"300.3400","303.9400","277.3000","284.6500","115551414"
2025-03-04,"270.9300","284.3500","261.8401","272.0400","126706623"
2025-03-05,"272.9200","279.5500","267.7100","279.1000","94042913"
2025-03-06,"272.0600","272.6500","260.0200","263.4500","98451566"
2025-03-07,"259.3200","266.2499","250.7300","262.6700","102369640"
2025-03-10,"252.5400","253.3700","220.0000","222.1500","185037825"
2025-03-11,"225.3050","237.0649","217.0200","230.5800","174896415"
2025-03-12,"247.2200","251.8400","241.1000","248.0900","142215681"
2025-03-13,"248.1250","248.2900","232.6000","240.6800","114813525"
2025-03-14,"247.3100","251.5800","240.7300","249.9800","100242264"
2025-03-17,"245.0550","245.4000","232.8000","238.0100","111900565"
2025-03-18,"228.1550","230.1000","222.2800","225.3100","111477636"
2025-03-19,"231.6100","241.4100","229.2010","235.8600","111993753"
2025-03-20,"233.3450","238.0000","230.0501","236.2600","99028270"
2025-03-21,"234.9850","249.5200","234.5500","248.7100","132728684"
2025-03-24,"258.0750","278.6400","256.3300","278.3900","169079865"
2025-03-25,"283.6000","288.2000","271.2800","288.1400","150361538"
2025-03-26,"282.6600","284.9000","266.5100","272.0600","156254441"
2025-03-27,"272.4800","291.8500","271.8216","273.1300","162572146"
2025-03-28,"275.5750","276.1000","260.5700","263.5500","123809389"
2025-03-31,"249.3100","260.5600","243.3601","259.1600","134008936"
2025-04-01,"263.8000","277.4500","259.2500","268.4600","146486911"
2025-04-02,"254.6000","284.9900","251.2700","282.7600","212787817"
2025-04-03,"265.2900","276.3000","261.5100","267.2800","136174291"
2025-04-04,"255.3800","261.0000","236.0000","239.4300","181229353"
2025-04-07,"223.7800","252.0000","214.2500","233.2900","183453776"
2025-04-08,"245.0000","250.4400","217.8000","221.8600","171603472"
2025-04-09,"224.6900","274.6900","223.8800","272.2000","219433373"
2025-04-10,"260.0000","262.4900","239.3300","252.4000","181722604"
2025-04-11,"251.8400","257.7400","241.3629","252.3100","128948085"
2025-04-14,"258.3600","261.8000","245.9300","252.3500","100135241"
2025-04-15,"249.9100","258.7500","247.5400","254.1100","79594318"
2025-04-16,"247.6100","251.9700","233.8900","241.5500","112378737"
2025-04-17,"243.4700","244.3400","237.6833","241.3700","83404775"
2025-04-21,"230.2600","232.2100","222.7900","227.5000","97768007"
2025-04-22,"230.9600","242.7900","229.8501","237.9700","120858452"
2025-04-23,"254.8600","259.4499","244.4300","250.7400","150381903"
